                檔案名稱:F_left_9touch22touch15_sean.csv
============================================================
Stroke Detected! Peak time:833     peak:0.6370851       Valley time:813     valley:0.1075439       Occur time:844
Stroke Detected! Peak time:876     peak:0.597351       Valley time:859     valley:-0.09283446       Occur time:879
Stroke Detected! Peak time:896     peak:0.4883423       Valley time:892     valley:0.02331543       Occur time:909
Stroke Detected! Peak time:933     peak:0.7379149       Valley time:913     valley:-0.04241943       Occur time:943
Stroke Detected! Peak time:969     peak:0.5368651       Valley time:961     valley:-0.1849365       Occur time:980
Stroke Detected! Peak time:999     peak:0.4574585       Valley time:985     valley:-0.05908198       Occur time:1012
Stroke Detected! Peak time:1036     peak:0.6856689       Valley time:1016     valley:-0.03015137       Occur time:1046
Stroke Detected! Peak time:1083     peak:0.5999146       Valley time:1053     valley:-0.2776488       Occur time:1085
Stroke Detected! Peak time:1104     peak:0.419983       Valley time:1099     valley:-0.06298833       Occur time:1117
Stroke Detected! Peak time:1141     peak:0.6952515       Valley time:1122     valley:-0.06292719       Occur time:1151
Stroke Detected! Peak time:1179     peak:0.6340333       Valley time:1158     valley:-0.1327514       Occur time:1191
Stroke Detected! Peak time:1212     peak:0.7329713       Valley time:1197     valley:0.02789314       Occur time:1223
Stroke Detected! Peak time:1250     peak:0.7717894       Valley time:1233     valley:-0.07037351       Occur time:1259
Stroke Detected! Peak time:1295     peak:0.5481567       Valley time:1267     valley:-0.3639527       Occur time:1298
Stroke Detected! Peak time:1317     peak:0.4752196       Valley time:1312     valley:0.02716061       Occur time:1330
Stroke Detected! Peak time:1355     peak:0.4739381       Valley time:1340     valley:-0.1229858       Occur time:1366
Peak time:1440     peak:-0.3432007       Valley time:1426     valley:-0.7785644       Occur time:1450
Stroke Detected! Peak time:1516     peak:0.5699464       Valley time:1482     valley:-0.2825927       Occur time:1529
Stroke Detected! Peak time:1553     peak:0.807312       Valley time:1532     valley:0.1530151       Occur time:1558
Stroke Detected! Peak time:1585     peak:0.5678101       Valley time:1569     valley:-0.3406371       Occur time:1598
Stroke Detected! Peak time:1625     peak:0.8395386       Valley time:1607     valley:-0.0721435       Occur time:1633
Stroke Detected! Peak time:1673     peak:0.6234741       Valley time:1642     valley:-0.3009645       Occur time:1675
Stroke Detected! Peak time:1705     peak:0.4899294       Valley time:1689     valley:-0.1083375       Occur time:1708
Stroke Detected! Peak time:1736     peak:0.4292603       Valley time:1720     valley:-0.0998535       Occur time:1744
Stroke Detected! Peak time:1779     peak:0.513977       Valley time:1761     valley:-0.1184081       Occur time:1782
Stroke Detected! Peak time:1802     peak:0.5119018       Valley time:1787     valley:-0.09692374       Occur time:1814
Stroke Detected! Peak time:1839     peak:0.6540527       Valley time:1826     valley:-0.09808354       Occur time:1851
Stroke Detected! Peak time:1883     peak:0.7152709       Valley time:1867     valley:-0.2105104       Occur time:1888
Stroke Detected! Peak time:1943     peak:0.6461793       Valley time:1924     valley:-0.08435063       Occur time:1950
Stroke Detected! Peak time:1979     peak:0.3151855       Valley time:1972     valley:-0.2418212       Occur time:1981
Stroke Detected! Peak time:2011     peak:0.4782716       Valley time:1995     valley:-0.04925531       Occur time:2024
Stroke Detected! Peak time:2047     peak:0.3167726       Valley time:2034     valley:-0.168396       Occur time:2054
Peak time:191     peak:0.7339479       Valley time:174     valley:0.09661874       Occur time:196
Peak time:293     peak:0.835022       Valley time:274     valley:-0.06665048       Occur time:302
Stroke Detected! Peak time:351     peak:0.7651367       Valley time:333     valley:0.2840575       Occur time:359
Stroke Detected! Peak time:389     peak:0.8095703       Valley time:367     valley:0.04016118       Occur time:397
Stroke Detected! Peak time:427     peak:0.6464844       Valley time:411     valley:0.2366333       Occur time:432
Stroke Detected! Peak time:456     peak:0.7358398       Valley time:440     valley:0.1482545       Occur time:464
Stroke Detected! Peak time:491     peak:0.4352417       Valley time:475     valley:-0.3306274       Occur time:504
Peak time:587     peak:0.8274537       Valley time:548     valley:-0.01684574       Occur time:595
Stroke Detected! Peak time:637     peak:0.8914795       Valley time:616     valley:-0.1636352       Occur time:648
Stroke Detected! Peak time:700     peak:0.7479858       Valley time:682     valley:0.1788941       Occur time:709
Stroke Detected! Peak time:739     peak:0.8261108       Valley time:722     valley:0.04840082       Occur time:747
Stroke Detected! Peak time:774     peak:0.7214355       Valley time:761     valley:0.3170166       Occur time:781
Stroke Detected! Peak time:846     peak:0.777832       Valley time:820     valley:0.04132068       Occur time:851
Stroke Detected! Peak time:908     peak:0.7415773       Valley time:866     valley:0.3247072       Occur time:913
Stroke Detected! Peak time:951     peak:0.7593995       Valley time:926     valley:-0.05474862       Occur time:955
Stroke Detected! Peak time:1008     peak:0.7296753       Valley time:995     valley:0.300171       Occur time:1017
Stroke Detected! Peak time:1053     peak:0.8366699       Valley time:1023     valley:-0.05151368       Occur time:1058
Stroke Detected! Peak time:1109     peak:0.7208863       Valley time:1093     valley:0.2644043       Occur time:1122
Stroke Detected! Peak time:1157     peak:0.8509522       Valley time:1135     valley:-0.1621095       Occur time:1163
Stroke Detected! Peak time:1225     peak:0.626709       Valley time:1209     valley:0.1386719       Occur time:1231
Stroke Detected! Peak time:1262     peak:0.8034668       Valley time:1245     valley:-0.2492675       Occur time:1272
Stroke Detected! Peak time:1322     peak:0.8250731       Valley time:1306     valley:0.3023683       Occur time:1334
Stroke Detected! Peak time:1368     peak:0.6547852       Valley time:1343     valley:-0.1051025       Occur time:1373
Peak time:1485     peak:0.8482667       Valley time:1444     valley:0.01074219       Occur time:1491
Stroke Detected! Peak time:1532     peak:0.7428589       Valley time:1503     valley:-0.006530821       Occur time:1537
Stroke Detected! Peak time:1589     peak:0.7192382       Valley time:1573     valley:0.2950439       Occur time:1602
Stroke Detected! Peak time:1641     peak:0.7467042       Valley time:1611     valley:-0.09112549       Occur time:1648
Stroke Detected! Peak time:1699     peak:0.744507       Valley time:1683     valley:0.2398071       Occur time:1712
Stroke Detected! Peak time:1744     peak:0.7966919       Valley time:1719     valley:0.02404783       Occur time:1749
Stroke Detected! Peak time:1813     peak:0.70459       Valley time:1798     valley:0.2493897       Occur time:1819
Stroke Detected! Peak time:1852     peak:0.6877441       Valley time:1826     valley:-0.02062977       Occur time:1861
Stroke Detected! Peak time:1910     peak:0.7035523       Valley time:1894     valley:0.1917114       Occur time:1923
Stroke Detected! Peak time:1958     peak:0.8108521       Valley time:1936     valley:-0.06726082       Occur time:1964
Stroke Detected! Peak time:2020     peak:0.6817018       Valley time:2004     valley:0.2615966       Occur time:2029
Stroke Detected! Peak time:2057     peak:0.4195558       Valley time:2040     valley:-0.3668824       Occur time:2067
Peak time:2229     peak:0.8630372       Valley time:2198     valley:-0.2684327       Occur time:2237
